View Inspection,Case Number,Case Type,Inspection Type,Address,Primary Inspector,Estimated Start Time,Estimated End Time,Inspector Phone Number,Status,Order
"SITE-199797-2026","BLDR-000667-2026","Permit","BSD-Driveway (Residential)","5902 HARLAN CT COL MO 65201","Nunley, Louis","08:00 AM","08:00 AM","","Passed Permit Inspection",0
"SITE-199796-2026","BLDR-000667-2026","Permit","BSD-Sidewalk (Residential)","5902 HARLAN CT COL MO 65201","Nunley, Louis","08:00 AM","08:00 AM","","Passed Permit Inspection",0
"SITE-199832-2026","BLDR-001603-2026","Permit","BSD-Sidewalk (Residential)","5301 MAKANA LN COLUMBIA MO 65203","Allen, Cody","08:00 AM","08:00 AM","","Passed Permit Inspection",0
"BLDG-199876-2026","BLDR-002615-2025","Permit","BSD-Framing and Rough In's","3021 MILKWEED LOOP COL MO 65202","Hazlett, Harlan","01:00 PM","01:00 PM","","Passed Permit Inspection",0
"ELEC-199875-2026","BLDR-002615-2025","Permit","BSD-Electrical Tag","3021 MILKWEED LOOP COL MO 65202","Hazlett, Harlan","01:00 PM","01:00 PM","","Passed Permit Inspection",0
"BLDG-199874-2026","BLDR-002615-2025","Permit","BSD-Insulation","3021 MILKWEED LOOP COL MO 65202","Hazlett, Harlan","01:00 PM","01:00 PM","","Passed Permit Inspection",0
"SITE-199913-2026","BLDR-002799-2026","Permit","BSD-Driveway (Residential)","2719 EASLEY CABIN CIR COLUMBIA MO 65201","Nunley, Louis","12:36 PM","12:36 PM","","Passed Permit Inspection",0
"SITE-199914-2026","BLDR-002800-2026","Permit","BSD-Driveway (Residential)","2727 EASLEY CABIN CIR COLUMBIA MO 65201","Nunley, Louis","12:36 PM","12:36 PM","","Passed Permit Inspection",0
"SITE-199841-2026","BLDR-003152-2025","Permit","BSD-Yard Final (Residential)","4304 STONE MOUNTAIN PKWY COLUMBIA MO 65201","Nunley, Louis","08:00 AM","08:00 AM","","Re-inspection required",0
"PLMB-199877-2026","BLDR-003342-2026","Permit","BSD-Plumbing Groundwork","5100 WHISPER DR COLUMBIA MO 65203","Lichty, Curtis","01:00 PM","01:00 PM","","Re-inspection required",0
"BLDG-199842-2026","BLDR-003992-2026","Permit","BSD-Footing","1905 KATY WOODS CT COLUMBIA MO 65203","Hazlett, Harlan","08:00 AM","08:00 AM","","Passed Permit Inspection",0
"BLDG-199778-2026","BLDR-004228-2026","Permit","BSD-Footing","6601 WALSBY DR COLUMBIA MO 65201","Hombs, Josh","08:00 AM","08:00 AM","","Re-inspection required",0
"ELEC-199830-2026","BLDR-004280-2026","Permit","BSD-Electrical Tag","4606 VILLA WOOD CT COL MO 65203","Lichty, Curtis","01:00 PM","01:00 PM","","Passed Permit Inspection",0
"SITE-199844-2026","BLDR-005001-2025","Permit","BSD-Yard Final (Residential)","309 ASH DOWN DR COLUMBIA MO 65201","Nunley, Louis","08:00 AM","08:00 AM","","Passed Permit Inspection",0
"BLDG-199845-2026","BLDR-005001-2025","Permit","BSD-Residential Final (Building and Trades)","309 ASH DOWN DR COLUMBIA MO 65201","Hombs, Josh","08:00 AM","08:00 AM","","Passed Permit Inspection",0
"SITE-199805-2026","BLDR-005724-2025","Permit","BSD-Sidewalk (Residential)","1200 SHALLOW RIDGE CIR   COLUMBIA MO 65201","Nunley, Louis","08:00 AM","08:00 AM","","Passed Permit Inspection",0
"BLDG-199846-2026","BLDR-005764-2025","Permit","BSD-Residential Final (Building and Trades)","105 CRUDEN BAY DR COLUMBIA MO 65201","Hombs, Josh","08:00 AM","08:00 AM","","Failed Re-Inspection ($75 fee)",0
"BLDG-199849-2026","BLDR-005774-2025","Permit","BSD-Residential Final (Building and Trades)","824 N GARTH AVE  ADU COLUMBIA MO 65203","Tiffany, Andy","08:00 AM","08:00 AM","","Re-inspection required (with fee)",0
"BLDG-199943-2026","BLDR-005860-2025","Permit","BSD-Residential Final (Building and Trades)","3923 FORESTER CT   COLUMBIA MO 65202","Hazlett, Harlan","02:22 PM","02:22 PM","","Re-inspection required",0
"BLDG-199942-2026","BLDR-005860-2025","Permit","BSD-Insulation","3923 FORESTER CT   COLUMBIA MO 65202","Hazlett, Harlan","12:00 AM","12:00 AM","","Passed Permit Inspection",0
"BLDG-199864-2026","DECK-004086-2026","Permit","BSD-Deck Piers","302 RYEFIELD RDG COL MO 65203","Tiffany, Andy","01:00 PM","01:00 PM","","Partial Pass Permit Inspection",0
"DECK-199816-2026","DECK-004359-2026","Permit","BSD-Deck Only Final","4309 STEVENDAVE DR COLUMBIA MO 65202","Tiffany, Andy","08:00 AM","08:00 AM","","Passed Permit Inspection",0
"ELEC-199843-2026","ELEC-002960-2026","Permit","BSD-Electrical Tag","33 E BROADWAY COLUMBIA MO 65203","Lichty, Curtis","08:00 AM","08:00 AM","","Passed Permit Inspection",0
"ELEC-199903-2026","ELEC-004540-2026","Permit","BSD-Electrical Final","1008 ROYAL BIRKDALE DR COL MO 65203","Hazlett, Harlan","12:01 PM","12:01 PM","","Passed Permit Inspection",0
"MECH-199865-2026","MECH-004514-2026","Permit","BSD-Mechanical Final (W&L)","3716 IVANHOE BLVD COL MO 65203","Figueroa, Eric","01:00 PM","01:00 PM","","Passed Permit Inspection",0
"MECH-199750-2026","MECH-004515-2026","Permit","BSD-Mechanical Final","3707 SHADOW GLEN CT COL MO 65203","Lichty, Curtis","12:00 PM","12:00 PM","","Passed Permit Inspection",0
"MECH-199749-2026","MECH-004528-2026","Permit","BSD-Mechanical Final","705 WASHINGTON AVE COL MO 65201","Lichty, Curtis","08:00 AM","08:00 AM","","Passed Permit Inspection",0
"ONSHNI-198321-2026","OHN-058480-2026","Code Case","ONS - Health Nuisance Inspection","1508 N PROVIDENCE RD COLUMBIA MO 65203","Perkins, Marsha","09:06 AM","09:06 AM","","In Violation",0
"ONSHNI-199201-2026","OHN-058609-2026","Code Case","ONS - Health Nuisance Inspection","804 MOUNT VERNON AVE COLUMBIA MO 65201","Perkins, Marsha","03:01 PM","03:01 PM","","Passed Code Inspection",0
"ONSHNI-198899-2026","OHN-058626-2026","Code Case","ONS - Health Nuisance Inspection","1211 UNIVERSITY AVE APT 201 COLUMBIA MO 65201","Perkins, Marsha","12:35 PM","12:35 PM","","Scheduled",0
"ONSHNI-198921-2026","OHN-058722-2026","Code Case","ONS - Health Nuisance Inspection","305 S COLLEGE AVE COLUMBIA MO 65201","Perkins, Marsha","02:09 PM","02:09 PM","","Passed Code Inspection",0
"1STINSP-199892-2026","OHN-059094-2026","Code Case","ONS - Initial Inspection","2310 SEARS CT COLUMBIA MO 65202","Kottwitz, Leigh","10:43 AM","10:43 AM","","Scheduled",0
"1STINSP-199945-2026","OHN-059098-2026","Code Case","ONS - Initial Inspection","714 W STEWART RD COLUMBIA MO 65203","Frank, Lisa","02:30 PM","02:30 PM","","In Violation",0
"1STINSP-199975-2026","OHN-059099-2026","Code Case","ONS - Initial Inspection","350 E OLD PLANK RD   COLUMBIA MO 65203","Frank, Lisa","07:45 AM","07:45 AM","","In Violation",0
"1STINSP-199906-2026","OHN-059127-2026","Code Case","ONS - Initial Inspection","2906 MEXICO GRAVEL RD COLUMBIA MO 65202","McClintic, Jason","12:06 PM","12:06 PM","","In Violation",0
"1STINSP-199928-2026","OHN-059134-2026","Code Case","ONS - Initial Inspection","3406 RANGE LINE ST TRLR 1 COLUMBIA MO 65202","McClintic, Jason","01:25 PM","01:25 PM","","In Violation",0
"ILRINSP-199853-2026","OILER-059097-2026","Code Case","ONS - Possible Illegal Rental ","1409 HICKAM DR COLUMBIA MO 65202","Millard, Rachelle","06:00 AM","06:00 AM","","In Violation",0
"ILRINSP-199898-2026","OILER-059120-2026","Code Case","ONS - Possible Illegal Rental ","3405 BALBOA LN COLUMBIA MO 65203","Millard, Rachelle","06:00 AM","06:00 AM","","In Violation",0
"ONSINSPECT-196871-2026","OLM-057943-2026","Code Case","ONS - Inspection","3608 WEST SUGAR TREE LN COLUMBIA MO 65201","Perkins, Marsha","01:48 PM","01:48 PM","","Passed Code Inspection",0
"ONSINSPECT-196875-2026","OLM-057946-2026","Code Case","ONS - Inspection","1511 STONE ST COLUMBIA MO 65201","Perkins, Marsha","02:00 PM","02:00 PM","","Scheduled",0
"ONSINSPECT-199435-2026","OLM-058835-2026","Code Case","ONS - Inspection","4421 SMITH DR   COLUMBIA MO 65203","Frank, Lisa","05:24 PM","05:24 PM","","Scheduled",0
"ONSINSPECT-199436-2026","OLM-058837-2026","Code Case","ONS - Inspection","","Frank, Lisa","05:34 PM","05:34 PM","","Passed Code Inspection",0
"ONSINSPECT-199425-2026","OLM-058846-2026","Code Case","ONS - Inspection","5204 STEEPLECHASE DR   COLUMBIA MO 65203","Frank, Lisa","03:43 PM","03:43 PM","","Passed Code Inspection",0
"ONSINSPECT-199360-2026","OLM-058905-2026","Code Case","ONS - Inspection","611 N FOURTH ST   COLUMBIA MO 65201","Perkins, Marsha","11:01 AM","11:01 AM","","Scheduled",0
"ONSINSPECT-199398-2026","OLM-058910-2026","Code Case","ONS - Inspection","2705 ANDY DR COLUMBIA MO 65202","Fuelling, Quentin","01:42 PM","01:42 PM","","Passed Code Inspection",0
"ONSINSPECT-199401-2026","OLM-058911-2026","Code Case","ONS - Inspection","209 W WORLEY ST COLUMBIA MO 65203","Fuelling, Quentin","01:51 PM","01:51 PM","","Passed Code Inspection",0
"ONSINSPECT-199404-2026","OLM-058912-2026","Code Case","ONS - Inspection","1009 MADISON ST COLUMBIA MO 65203","Fuelling, Quentin","02:00 PM","02:00 PM","","Passed Code Inspection",0
"ONSINSPECT-199432-2026","OLM-058917-2026","Code Case","ONS - Inspection","8 CLINTON DR COLUMBIA MO 65203","Frank, Lisa","05:06 PM","05:06 PM","","Passed Code Inspection",0
"ONSINSPECT-199917-2026","OLM-058974-2026","Code Case","ONS - Inspection","2304 LICHFIELD DR COLUMBIA MO 65202","McClintic, Jason","10:56 PM","10:56 PM","","Passed Code Inspection",0
"1STINSP-199924-2026","OLM-059069-2026","Code Case","ONS - Initial Inspection","406 HILLSDALE RD   COLUMBIA MO 65201","Perkins, Marsha","01:19 PM","01:19 PM","","In Violation",0
"1STINSP-199953-2026","OLM-059106-2026","Code Case","ONS - Initial Inspection","300 W WORLEY ST COLUMBIA MO 65203","Frank, Lisa","03:45 PM","03:45 PM","","In Violation",0
"1STINSP-199921-2026","OLM-059112-2026","Code Case","ONS - Initial Inspection","2004 HILDA ST   COLUMBIA MO 65201","Fuelling, Quentin","01:11 PM","01:11 PM","","In Violation",0
"1STINSP-199920-2026","OLM-059115-2026","Code Case","ONS - Initial Inspection","3304 KEENES EDGE DR COLUMBIA MO 65201","Perkins, Marsha","01:10 PM","01:10 PM","","Passed Code Inspection",0
"1STINSP-199895-2026","OLM-059124-2026","Code Case","ONS - Initial Inspection","1211 UNIVERSITY AVE COLUMBIA MO 65201","Perkins, Marsha","11:48 AM","11:48 AM","","In Violation",0
"1STINSP-199901-2026","OLM-059125-2026","Code Case","ONS - Initial Inspection","3200 DOVE DR COLUMBIA MO 65202","McClintic, Jason","11:58 AM","11:58 AM","","In Violation",0
"1STINSP-199964-2026","OLM-059146-2026","Code Case","ONS - Initial Inspection","713 WILKES BLVD DEMO COLUMBIA MO 65201","Perkins, Marsha","06:48 AM","06:48 AM","","In Violation",0
"1STINSP-199966-2026","OLM-059147-2026","Code Case","ONS - Initial Inspection","801 WILKES BLVD   COLUMBIA MO 65201","Perkins, Marsha","06:53 AM","06:53 AM","","In Violation",0
"1STINSP-199968-2026","OLM-059148-2026","Code Case","ONS - Initial Inspection","402 RIPLEY ST   COLUMBIA MO 65201","Perkins, Marsha","12:04 PM","12:04 PM","","In Violation",0
"RTINSP-198859-2026","ONS009823","Business License","ONS - Rental Housing","1801 SUNRISE DR     COLUMBIA MO 65201","Brockhouse, David","12:00 AM","12:00 AM","","Scheduled",0
"RTINSP-195761-2026","ONS010642","Business License","ONS - Rental Housing","5104 CLARK LN   COLUMBIA MO 65202","Friesz, Adam","01:00 PM","01:00 PM","","ONS - RH Re-inspection",0
"RTINSP-198977-2026","ONS010968","Business License","ONS - Rental Housing","2407 NORBURY DR     COLUMBIA MO 65202","Brockhouse, David","12:00 AM","12:00 AM","","Scheduled",0
"RTINSP-198505-2026","ONS011029","Business License","ONS - Rental Housing","900 LELAND RIDGE RD COLUMBIA MO 65203","Brockhouse, David","02:00 PM","02:00 PM","","Passed-Rental",0
"RTINSP-198855-2026","ONS011129","Business License","ONS - Rental Housing","6 FYFER PL   COLUMBIA MO 65201","Brockhouse, David","12:00 AM","12:00 AM","","Scheduled",0
"RTINSP-197157-2026","ONS011257","Business License","ONS - Rental Housing","1700 CANIFF CIR COLUMBIA MO 65201","Brockhouse, David","12:00 AM","12:00 AM","","Scheduled",0
"RTINSP-198479-2026","ONS012064","Business License","ONS - Rental Housing","307 ANDERSON AVE   COLUMBIA MO 65203","Brockhouse, David","01:00 PM","01:00 PM","","Passed-Rental",0
"RTINSP-197941-2026","ONS012236","Business License","ONS - Rental Housing","101 W GREEN MEADOWS RD   COLUMBIA MO 65203","Millard, Rachelle","10:00 AM","10:00 AM","","Passed-Rental",0
"RTINSP-197943-2026","ONS012237","Business License","ONS - Rental Housing","105 W GREEN MEADOWS RD   COLUMBIA MO 65203","Millard, Rachelle","11:30 AM","11:30 AM","","Passed-Rental",0
"RTINSP-198504-2026","ONS012278","Business License","ONS - Rental Housing","204 W ASH ST   COLUMBIA MO 65203","Stark, James","01:30 PM","01:30 PM","","Passed-Rental",0
"RTINSP-195136-2026","ONS019734","Business License","ONS - Rental Housing","200 HICKMAN AVE COLUMBIA MO 65203","Friesz, Adam","10:00 AM","10:00 AM","","Scheduled",0
"RTINSP-199941-2026","ONS019891","Business License","ONS - Rental Housing","4606 RICE RD COLUMBIA MO 65202","Millard, Rachelle","02:00 PM","02:00 PM","","Passed-Rental",0
"RTINSP-198270-2026","ONS020381","Business License","ONS - Rental Housing","204 BOURN AVE COLUMBIA MO 65203","Friesz, Adam","03:00 AM","03:00 AM","","Passed-Rental",0
"RTINSP-198286-2026","ONS020559","Business License","ONS - Rental Housing","706 W WORLEY ST COLUMBIA MO 65203","Friesz, Adam","10:45 AM","10:45 AM","","ONS - RH Re-inspection",0
"RTINSP-197744-2026","ONS025928","Business License","ONS - Rental Housing","1901 E WALNUT ST   COLUMBIA MO 65201","Brockhouse, David","09:00 AM","09:00 AM","","Passed-Rental",0
"RTINSP-199143-2026","ONS026195","Business License","ONS - Rental Housing","1407 BARNWOOD DR COLUMBIA MO 65202","Brockhouse, David","12:00 AM","12:00 AM","","Passed-Rental",0
"RTINSP-199142-2026","ONS026221","Business License","ONS - Rental Housing","3604 CHATHAM DR COLUMBIA MO 65203","Brockhouse, David","12:00 AM","12:00 AM","","Scheduled",0
"1STINSP-199767-2026","ORC-059031-2026","Code Case","ONS - Initial Inspection","1508 UNIVERSITY AVE COLUMBIA MO 65201","Friesz, Adam","09:30 AM","09:30 AM","","In Violation",0
"1STINSP-199878-2026","OSSV-059063-2026","Code Case","ONS - Initial Inspection","1621 WILSON AVE APT 4 COLUMBIA MO 65201","Stark, James","10:30 AM","10:30 AM","","Passed Code Inspection",0
"ONSINSPECT-199390-2026","OTOE-058909-2026","Code Case","ONS - Inspection","313 OAK MOUNT DR COLUMBIA MO 65201","Cagle, Joseph","01:01 PM","01:01 PM","","Scheduled",0
"1STINSP-199872-2026","OTOE-059096-2026","Code Case","ONS - Initial Inspection","212 E GREEN MEADOWS RD STE 9 COLUMBIA MO 65203","Cagle, Joseph","10:43 AM","10:43 AM","","In Violation",0
"1STINSP-199871-2026","OTOE-059109-2026","Code Case","ONS - Initial Inspection","219 E EL CORTEZ DR COLUMBIA MO 65203","Cagle, Joseph","10:42 AM","10:42 AM","","In Violation",0
"1STINSP-199904-2026","OTOE-059126-2026","Code Case","ONS - Initial Inspection","3405 BALBOA LN APT B COLUMBIA MO 65203","Cagle, Joseph","12:03 PM","12:03 PM","","In Violation",0
"1STINSP-199947-2026","OTOE-059128-2026","Code Case","ONS - Initial Inspection","111 FYFER PL COLUMBIA MO 65201","Cagle, Joseph","02:35 PM","02:35 PM","","In Violation",0
"1STINSP-199915-2026","OTOE-059129-2026","Code Case","ONS - Initial Inspection","111 FYFER PL COLUMBIA MO 65201","Cagle, Joseph","12:41 PM","12:41 PM","","In Violation",0
"1STINSP-199926-2026","OTOE-059133-2026","Code Case","ONS - Initial Inspection","1604 UNIVERSITY AVE COLUMBIA MO 65201","Cagle, Joseph","01:23 PM","01:23 PM","","In Violation",0
"1STINSP-199933-2026","OTOE-059135-2026","Code Case","ONS - Initial Inspection","1610 UNIVERSITY AVE COLUMBIA MO 65201","Cagle, Joseph","01:54 PM","01:54 PM","","In Violation",0
"1STINSP-199939-2026","OTOE-059138-2026","Code Case","ONS - Initial Inspection","1606 UNIVERSITY AVE COLUMBIA MO 65201","Cagle, Joseph","02:09 PM","02:09 PM","","In Violation",0
"ELEC-199858-2026","POOL-003849-2026","Permit","BSD-Electrical Pool Bonding","2100 W BROADWAY   COLUMBIA MO 65203","Tiffany, Andy","01:00 PM","01:00 PM","","Passed Permit Inspection",0
"BLDG-199862-2026","ROOF-004126-2026","Permit","BSD-ReRoof","3408 DERBY RIDGE DR COL MO 65202","Hazlett, Harlan","01:00 PM","01:00 PM","","Passed Permit Inspection",0