View Inspection,Case Number,Case Type,Inspection Type,Address,Primary Inspector,Estimated Start Time,Estimated End Time,Inspector Phone Number,Status,Order
"ELEC-199430-2026","BLDR-002719-2026","Permit","BSD-Electrical Tag","703 KING AVE  ADU COLUMBIA MO 65203","Brown, Daryl","08:00 AM","08:00 AM","","Passed Permit Inspection",0
"SITE-199444-2026","BLDR-002974-2026","Permit","BSD-Sidewalk (Residential)","2832 EMERY DR COL MO 65202","Price, Bud","01:00 PM","01:00 PM","","Partial Pass Permit Inspection",0
"SITE-199443-2026","BLDR-002974-2026","Permit","BSD-Driveway (Residential)","2832 EMERY DR COL MO 65202","Price, Bud","01:00 PM","01:00 PM","","Passed Permit Inspection",0
"BLDG-199462-2026","BLDR-003090-2026","Permit","BSD-Framing and Rough In's","2813 EMERY DR COL MO 65202","Hazlett, Harlan","01:00 PM","01:00 PM","","Re-inspection required",0
"ELEC-199461-2026","BLDR-003090-2026","Permit","BSD-Electrical Tag","2813 EMERY DR COL MO 65202","Hazlett, Harlan","01:00 PM","01:00 PM","","Passed Permit Inspection",0
"PLMB-199394-2026","BLDR-003476-2026","Permit","BSD-Plumbing Groundwork","3304 WOODDALE LN COLUMBIA MO 65203","Hombs, Josh","08:00 AM","08:00 AM","","Passed Permit Inspection",0
"PLMB-199483-2026","BLDR-003992-2026","Permit","BSD-Plumbing Sewer Lateral","1905 KATY WOODS CT COLUMBIA MO 65203","Tiffany, Andy","02:00 PM","02:00 PM","","Passed Permit Inspection",0
"PLMB-199465-2026","BLDR-004067-2026","Permit","BSD-Plumbing Groundwork","725 ELLA DR COL MO 65202","Hazlett, Harlan","01:00 PM","01:00 PM","","Passed Permit Inspection",0
"PLMB-199464-2026","BLDR-004067-2026","Permit","BSD-Plumbing Sewer Lateral","725 ELLA DR COL MO 65202","Hazlett, Harlan","01:00 PM","01:00 PM","","Passed Permit Inspection",0
"PLMB-199468-2026","BLDR-004068-2026","Permit","BSD-Plumbing Groundwork","729 ELLA DR COL MO 65202","Hazlett, Harlan","01:00 PM","01:00 PM","","Passed Permit Inspection",0
"PLMB-199467-2026","BLDR-004068-2026","Permit","BSD-Plumbing Sewer Lateral","729 ELLA DR COL MO 65202","Hazlett, Harlan","01:00 PM","01:00 PM","","Passed Permit Inspection",0
"SITE-199376-2026","BLDR-004273-2025","Permit","BSD-Driveway (Residential)","7421 KIRBY KNOWLE CT   COLUMBIA MO 65203","Allen, Cody","07:00 AM","01:00 PM","","Passed Permit Inspection",0
"BLDG-199450-2026","BLDR-004392-2026","Permit","BSD-Footing","3400 HONEY SHOAL DR COLUMBIA MO 65202","Hombs, Josh","01:00 PM","01:00 PM","","Passed Permit Inspection",0
"BLDG-199387-2026","BLDR-004413-2026","Permit","BSD-Deck Piers","1204 WEAVER DR COL MO 65203","Lichty, Curtis","08:00 AM","08:00 AM","","Passed Permit Inspection",0
"EROS-199441-2026","BLDR-006156-2025","Permit","BSD-Erosion Control Measures","507 HICKMAN AVE COLUMBIA MO 65201","Merson, Robert","07:51 AM","07:51 AM","","Requested",0
"EROS-199440-2026","BLDR-006158-2025","Permit","BSD-Erosion Control Measures","501 HICKMAN AVE COLUMBIA MO 65201","Merson, Robert","07:48 AM","07:48 AM","","Cancelled ",0
"SITE-199480-2026","BLDR-006350-2025","Permit","BSD-Driveway (Residential)","2005 STONE MOUNTAIN CT COLUMBIA MO 65201","Nunley, Louis","01:00 PM","01:00 PM","","Passed Permit Inspection",0
"SITE-199481-2026","BLDR-006350-2025","Permit","BSD-Sidewalk (Residential)","2005 STONE MOUNTAIN CT COLUMBIA MO 65201","Nunley, Louis","01:00 PM","01:00 PM","","Passed Permit Inspection",0
"199482-2026","BSDM-007448-2026","Professional License","BSD-Professional License","3504 MEANDERING CT COLUMBIA MO 65202","Brown, Daryl","11:20 AM","11:20 AM","","Approved to Test",0
"199486-2026","BSDP-007449-2026","Professional License","BSD-Professional License","1 HERITAGE DR VILLA RIDGE MO 63089","Hazlett, Harlan","12:55 PM","12:55 PM","","Passed Professional License",0
"DEMO-199473-2026","DEMO-004482-2026","Permit","BSD-Place Demo Sign","3200 NORTHLAND DR COLUMBIA MO 65202","Lichty, Curtis","01:00 PM","01:00 PM","","Passed Permit Inspection",0
"ELEC-199402-2026","ELEC-004191-2026","Permit","BSD-Electrical Final","3410 VENICE DR COL MO 65202","Hombs, Josh","01:00 PM","01:00 PM","","Passed Permit Inspection",0
"ELEC-199458-2026","ELEC-004429-2026","Permit","BSD-Electrical Tag","2112 E BUSINESS LOOP 70 COL MO 65201","Lichty, Curtis","01:00 PM","01:00 PM","","Passed Permit Inspection",0
"ELEC-199410-2026","ELEC-004430-2026","Permit","BSD-Electrical Tag","4408 RICE RD COL MO 65202","Tiffany, Andy","08:00 AM","08:00 AM","","Re-inspection required (with fee)",0
"ELEC-199373-2026","ELEC-004432-2026","Permit","BSD-Electrical Tag","3904 ROLLINS RD COL MO 65203","Tiffany, Andy","01:00 PM","01:00 PM","","Passed Permit Inspection",0
"ELEC-199383-2026","ELEC-004464-2026","Permit","BSD-Electrical Tag","1602 S OLD 63 SHOP COLUMBIA MO 65201","Hombs, Josh","08:00 AM","08:00 AM","","Cancelled ",0
"FGAS-199411-2026","FGAS-004431-2026","Permit","BSD-Fuel Gas Pressure","4408 RICE RD COL MO 65202","Tiffany, Andy","08:00 AM","08:00 AM","","Re-inspection required",0
"FGAS-199412-2026","FGAS-004431-2026","Permit","BSD-Fuel Gas Tag","4408 RICE RD COL MO 65202","Tiffany, Andy","08:00 AM","08:00 AM","","Re-inspection required (with fee)",0
"MECH-199324-2026","MECH-004395-2026","Permit","BSD-Mechanical Final","3008 APPALACHIAN DR COL MO 65203","Lichty, Curtis","08:00 AM","08:00 AM","","Passed Permit Inspection",0
"ONSHNI-198685-2026","OHN-057906-2026","Code Case","ONS - Health Nuisance Inspection","415 N PROVIDENCE RD COLUMBIA MO 65203","Frank, Lisa","01:14 PM","01:14 PM","","Passed Code Inspection",0
"1STINSP-199393-2026","OHN-058891-2026","Code Case","ONS - Initial Inspection","4601 OAK VIEW DR COLUMBIA MO 65202","McClintic, Jason","02:00 PM","02:00 PM","","Scheduled",0
"OWEED-198801-2026","OLM-058278-2026","Code Case","ONS - Weed Inspection","4202 FAUROT DR COLUMBIA MO 65203","Frank, Lisa","04:18 PM","04:18 PM","","Passed Code Inspection",0
"ONSINSPECT-198944-2026","OLM-058315-2026","Code Case","ONS - Inspection","312 N GARTH AVE COLUMBIA MO 65203","Fuelling, Quentin","08:57 AM","08:57 AM","","In Violation",0
"ONSINSPECT-199148-2026","OLM-058605-2026","Code Case","ONS - Inspection","2405 SANTA ROSA CT COLUMBIA MO 65201","Perkins, Marsha","12:51 PM","12:51 PM","","Scheduled",0
"ONSINSPECT-199063-2026","OLM-058607-2026","Code Case","ONS - Inspection","408 NORTH VILLAGE CIR COLUMBIA MO 65203","Frank, Lisa","11:50 AM","11:50 AM","","Scheduled",0
"OWEED-199474-2026","OLM-058610-2026","Code Case","ONS - Weed Inspection","610 W WORLEY ST COLUMBIA MO 65203","Frank, Lisa","10:32 AM","10:32 AM","","In Violation",0
"ONSINSPECT-199477-2026","OLM-058610-2026","Code Case","ONS - Inspection","610 W WORLEY ST COLUMBIA MO 65203","Cagle, Joseph","10:33 AM","10:33 AM","","Scheduled",0
"OWEED-198790-2026","OLM-058677-2026","Code Case","ONS - Weed Inspection","409 LOCH LN COLUMBIA MO 65203","Frank, Lisa","03:02 PM","03:02 PM","","Scheduled",0
"OWEED-198860-2026","OLM-058694-2026","Code Case","ONS - Weed Inspection","505 N PROVIDENCE RD COLUMBIA MO 65203","Frank, Lisa","10:31 AM","10:31 AM","","Passed Code Inspection",0
"OWEED-198866-2026","OLM-058698-2026","Code Case","ONS - Weed Inspection","1009 N PROVIDENCE RD   COLUMBIA MO 65203","Frank, Lisa","11:00 AM","11:00 AM","","Passed Code Inspection",0
"OWEED-198875-2026","OLM-058701-2026","Code Case","ONS - Weed Inspection","401 SOUTH VILLAGE CIR COLUMBIA MO 65203","Frank, Lisa","11:34 AM","11:34 AM","","Passed Code Inspection",0
"ONSINSPECT-198880-2026","OLM-058703-2026","Code Case","ONS - Inspection","400 SOUTH VILLAGE CIR COLUMBIA MO 65203","Frank, Lisa","12:03 PM","12:03 PM","","Passed Code Inspection",0
"ONSINSPECT-199001-2026","OLM-058711-2026","Code Case","ONS - Inspection","401 SCOTT BLVD COLUMBIA MO 65203","Fuelling, Quentin","02:53 PM","02:53 PM","","Scheduled",0
"ONSINSPECT-199004-2026","OLM-058719-2026","Code Case","ONS - Inspection","3404 CONDADO CT COLUMBIA MO 65203","Fuelling, Quentin","03:09 PM","03:09 PM","","Passed Code Inspection",0
"ONSINSPECT-199007-2026","OLM-058777-2026","Code Case","ONS - Inspection","604 BANKS AVE COLUMBIA MO 65203","Fuelling, Quentin","03:32 PM","03:32 PM","","Scheduled",0
"ONSINSPECT-199012-2026","OLM-058778-2026","Code Case","ONS - Inspection","1106 W BROADWAY COLUMBIA MO 65203","Fuelling, Quentin","03:40 PM","03:40 PM","","Passed Code Inspection",0
"1STINSP-199479-2026","OLM-058933-2026","Code Case","ONS - Initial Inspection","210 MOHAWK AVE COLUMBIA MO 65202","McClintic, Jason","11:04 AM","11:04 AM","","In Violation",0
"1STINSP-199507-2026","OLM-058946-2026","Code Case","ONS - Initial Inspection","603 DONNELLY AVE COLUMBIA MO 65203","Fuelling, Quentin","02:32 PM","02:32 PM","","In Violation",0
"1STINSP-199521-2026","OLM-058949-2026","Code Case","ONS - Initial Inspection","605 DONNELLY AVE COLUMBIA MO 65203","Fuelling, Quentin","03:50 PM","03:50 PM","","In Violation",0
"RTINSP-198192-2026","ONS011350","Business License","ONS - Rental Housing","1704 MCALESTER ST COLUMBIA MO 65201","Brockhouse, David","12:00 AM","12:00 AM","","Scheduled",0
"RTINSP-196650-2026","ONS011484","Business License","ONS - Rental Housing","307 BURNSIDE DR   COLUMBIA MO 65201","Stark, James","10:00 AM","10:00 AM","","ONS - RH Re-inspection",0
"RTINSP-197982-2026","ONS012104","Business License","ONS - Rental Housing","1023 FALCON DR   COLUMBIA MO 65201","Millard, Rachelle","01:45 PM","01:45 PM","","ONS - RH Re-inspection",0
"RTINSP-197983-2026","ONS012177","Business License","ONS - Rental Housing","5503 MURFREESBORO DR   COLUMBIA MO 65201","Millard, Rachelle","02:30 PM","02:30 PM","","ONS - RH Re-inspection",0
"RTINSP-197423-2026","ONS019013","Business License","ONS - Rental Housing","2921 NORTHLAND DR   COLUMBIA MO 65202","Friesz, Adam","09:00 AM","09:00 AM","","ONS - RH Re-inspection",0
"RTINSP-199491-2026","ONS025290","Business License","ONS - Rental Housing","2910 MEXICO GRAVEL RD COLUMBIA MO 65202","Friesz, Adam","11:00 AM","11:00 AM","","ONS - RH Re-inspection",0
"1STINSP-199501-2026","ONVPR-058943-2026","Code Case","ONS - Initial Inspection","304 HIRTH AVE COLUMBIA MO 65203","Frank, Lisa","01:53 PM","01:53 PM","","In Violation",0
"OPM-198271-2026","ORC-058434-2026","Code Case","ONS - Property Maintenance","203 ANITA CT APT 14 COLUMBIA MO 65201","Millard, Rachelle","06:00 AM","06:00 AM","","Scheduled",0
"1STINSP-199475-2026","ORC-058928-2026","Code Case","ONS - Initial Inspection","8 N KEENE ST APT C24 COLUMBIA MO 65201","Stark, James","11:00 AM","11:00 AM","","In Violation",0
"1STINSP-199487-2026","OTOE-058936-2026","Code Case","ONS - Initial Inspection","725 PEAR TREE CIR COLUMBIA MO 65203","Cagle, Joseph","12:37 PM","12:37 PM","","In Violation",0
"1STINSP-199493-2026","OTOE-058937-2026","Code Case","ONS - Initial Inspection","2108 ARLENE DR COLUMBIA MO 65203","Cagle, Joseph","01:07 PM","01:07 PM","","In Violation",0
"1STINSP-199496-2026","OTOE-058938-2026","Code Case","ONS - Initial Inspection","1901 ARLENE DR COLUMBIA MO 65203","Cagle, Joseph","01:21 PM","01:21 PM","","In Violation",0
"1STINSP-199476-2026","OZPARK-058932-2026","Code Case","ONS - Initial Inspection","4601 OAK VIEW DR COLUMBIA MO 65202","McClintic, Jason","10:00 AM","10:00 AM","","In Violation",0
"BLDG-199388-2026","ROOF-002422-2026","Permit","BSD-ReRoof","910 S GREENWOOD AVE COL MO 65203","Brown, Daryl","08:00 AM","08:00 AM","","Passed Permit Inspection",0
"BLDG-199386-2026","ROOF-002425-2026","Permit","BSD-ReRoof","2010 VINE ST     COL MO 65201","Tiffany, Andy","08:00 AM","08:00 AM","","Passed Permit Inspection",0
"SITE-199392-2026","ROW-004055-2026","Permit","BSD-Sidewalk (Residential)","4100 COPPERSTONE CREEK DR COL MO 65203","Allen, Cody","08:00 AM","08:00 AM","","Passed Permit Inspection",0
"SOLR-199235-2026","SOLR-004169-2026","Permit","BSD-Solar Bldg Final (Res)","5314 HIGHLANDS PKWY COL MO 65203","Hazlett, Harlan","08:00 AM","08:00 AM","","Passed Permit Inspection",0
"ELEC-199234-2026","SOLR-004169-2026","Permit","BSD-Electrical Tag","5314 HIGHLANDS PKWY COL MO 65203","Hazlett, Harlan","08:00 AM","08:00 AM","","Passed Permit Inspection",0
"ELEC-199233-2026","SOLR-004169-2026","Permit","BSD-Solar Electrical Final","5314 HIGHLANDS PKWY COL MO 65203","Hazlett, Harlan","08:00 AM","08:00 AM","","Passed Permit Inspection",0
"ELEC-199236-2026","SOLR-004184-2026","Permit","BSD-Electrical Tag","1314 GARY ST COL MO 65203","Lichty, Curtis","08:00 AM","08:00 AM","","Passed Permit Inspection",0
"SOLR-199238-2026","SOLR-004184-2026","Permit","BSD-Solar Bldg Final (Res)","1314 GARY ST COL MO 65203","Lichty, Curtis","08:00 AM","08:00 AM","","Passed Permit Inspection",0
"ELEC-199237-2026","SOLR-004184-2026","Permit","BSD-Solar Electrical Final","1314 GARY ST COL MO 65203","Lichty, Curtis","08:00 AM","08:00 AM","","Passed Permit Inspection",0